iter	Passed	Remaining
407	5600	8126
408	5618	8118
409	5630	8102
410	5643	8086
411	5656	8072
412	5666	8054
413	5680	8040
414	5693	8025
415	5707	8011
416	5719	7996
417	5733	7982
418	5746	7968
419	5758	7952
420	5770	7936
421	5782	7919
422	5797	7907
423	5810	7893
424	5823	7878
425	5838	7866
426	5850	7850
427	5860	7832
428	5873	7817
429	5892	7810
430	5904	7794
431	5914	7776
432	5925	7759
433	5938	7744
434	5951	7730
435	5964	7715
436	5976	7699
437	5990	7685
438	6002	7671
439	6014	7655
440	6026	7639
441	6039	7624
442	6053	7611
443	6072	7604
444	6085	7589
445	6099	7576
446	6116	7566
447	6128	7550
448	6141	7536
449	6153	7520
450	6166	7506
451	6180	7493
452	6193	7478
453	6205	7462
454	6216	7446
455	6229	7431
456	6242	7417
457	6254	7401
458	6270	7391
459	6282	7375
460	6294	7359
461	6308	7346
462	6321	7332
463	6340	7324
464	6355	7312
465	6369	7298
466	6380	7282
467	6394	7268
468	6407	7254
469	6419	7238
470	6432	7224
471	6443	7208
472	6455	7192
473	6469	7178
474	6482	7165
475	6493	7148
476	6511	7138
477	6523	7124
478	6536	7109
479	6548	7094
480	6561	7079
481	6574	7065
482	6588	7051
483	6604	7041
484	6616	7025
485	6631	7013
486	6645	6999
487	6658	6985
488	6672	6972
489	6686	6959
490	6700	6946
491	6716	6935
492	6729	6920
493	6743	6907
494	6755	6891
495	6766	6875
496	6780	6862
497	6793	6847
498	6807	6834
499	6823	6823
500	6844	6817
501	6859	6804
502	6874	6792
503	6885	6776
504	6896	6760
505	6907	6743
506	6922	6731
507	6933	6714
508	6946	6701
509	6960	6687
510	6973	6673
511	6986	6658
512	6999	6645
513	7011	6629
514	7023	6614
515	7035	6598
516	7048	6585
517	7062	6571
518	7075	6557
519	7088	6543
520	7101	6528
521	7114	6514
522	7128	6501
523	7142	6487
524	7155	6473
525	7169	6461
526	7182	6446
527	7194	6431
528	7208	6418
529	7221	6404
530	7239	6394
531	7252	6379
532	7266	6366
533	7278	6351
534	7291	6337
535	7303	6322
536	7315	6307
537	7329	6294
538	7343	6280
539	7357	6267
540	7374	6256
541	7388	6243
542	7401	6229
543	7416	6217
544	7430	6203
545	7442	6188
546	7455	6174
547	7471	6162
548	7487	6150
549	7500	6136
550	7512	6121
551	7525	6107
552	7537	6092
553	7564	6089
554	7581	6078
555	7594	6064
556	7607	6050
557	7622	6037
558	7634	6023
559	7647	6008
560	7663	5997
561	7676	5982
562	7690	5969
563	7705	5957
564	7716	5941
565	7733	5929
566	7747	5916
567	7758	5900
568	7770	5886
569	7787	5874
570	7799	5859
571	7815	5848
572	7828	5833
573	7841	5819
574	7855	5806
575	7866	5790
576	7878	5775
577	7891	5761
578	7905	5748
579	7917	5733
580	7929	5718
581	7944	5705
582	7956	5690
583	7969	5676
584	7983	5663
585	7995	5648
586	8006	5633
587	8020	5619
588	8033	5605
589	8046	5591
590	8061	5578
591	8076	5566
592	8089	5552
593	8103	5538
594	8118	5526
595	8130	5511
596	8146	5499
597	8158	5484
598	8170	5469
599	8183	5455
600	8196	5441
601	8209	5427
602	8224	5414
603	8238	5401
604	8249	5386
605	8261	5371
606	8274	5357
607	8286	5342
608	8301	5329
609	8313	5315
610	8326	5301
611	8343	5289
612	8355	5274
613	8366	5259
614	8385	5249
615	8396	5234
616	8409	5219
617	8422	5206
618	8435	5191
619	8449	5178
620	8464	5166
621	8479	5152
622	8492	5139
623	8515	5131
624	8531	5119
625	8548	5107
626	8568	5097
627	8581	5083
628	8593	5068
629	8606	5054
630	8620	5041
631	8632	5026
632	8646	5012
633	8658	4998
634	8670	4983
635	8687	4972
636	8699	4957
637	8718	4946
638	8731	4932
639	8743	4918
640	8754	4903
641	8767	4888
642	8783	4876
643	8795	4861
644	8808	4847
645	8823	4835
646	8839	4822
647	8851	4808
648	8865	4794
649	8881	4782
650	8897	4770
651	8912	4756
652	8924	4742
653	8937	4728
654	8951	4715
655	8971	4704
656	8982	4689
657	8996	4676
658	9009	4661
659	9022	4648
660	9036	4634
661	9068	4630
662	9087	4619
663	9099	4604
664	9113	4591
665	9126	4576
666	9137	4561
667	9152	4548
668	9165	4534
669	9177	4520
670	9190	4506
671	9201	4491
672	9215	4477
673	9228	4463
674	9241	4449
675	9254	4435
676	9264	4420
677	9279	4407
678	9290	4392
679	9304	4378
680	9318	4365
681	9331	4351
682	9349	4339
683	9373	4330
684	9409	4326
685	9428	4315
686	9442	4301
687	9456	4288
688	9469	4274
689	9483	4260
690	9510	4252
691	9526	4240
692	9541	4226
693	9555	4213
694	9586	4207
695	9601	4193
696	9618	4181
697	9635	4168
698	9650	4155
699	9663	4141
700	9677	4127
701	9691	4114
702	9705	4100
703	9717	4085
704	9729	4071
705	9741	4056
706	9752	4041
707	9764	4027
708	9775	4012
709	9788	3997
710	9798	3982
711	9814	3969
712	9828	3956
713	9842	3942
714	9854	3928
715	9868	3914
716	9881	3900
717	9895	3886
718	9908	3872
719	9922	3858
720	9934	3844
721	9945	3829
722	9958	3815
723	9971	3801
724	9983	3786
725	9995	3772
726	10007	3757
727	10020	3743
728	10036	3730
729	10049	3716
730	10061	3702
731	10075	3688
732	10088	3674
733	10100	3660
734	10113	3646
735	10124	3631
736	10137	3617
737	10150	3603
738	10161	3589
739	10176	3575
740	10191	3562
741	10215	3552
742	10227	3537
743	10241	3524
744	10253	3509
745	10265	3495
746	10280	3481
747	10294	3468
748	10305	3453
749	10318	3439
750	10329	3424
751	10341	3410
752	10350	3395
753	10362	3380
754	10374	3366
755	10387	3352
756	10404	3339
757	10417	3325
758	10429	3311
759	10442	3297
760	10453	3283
761	10465	3268
762	10477	3254
763	10489	3240
764	10505	3227
765	10518	3213
766	10542	3202
767	10553	3188
768	10569	3174
769	10594	3164
770	10610	3151
771	10623	3137
772	10644	3125
773	10665	3114
774	10679	3100
775	10691	3086
776	10707	3072
777	10718	3058
778	10730	3044
779	10743	3030
780	10756	3016
781	10768	3002
782	10781	2988
783	10794	2973
784	10804	2959
785	10817	2945
786	10829	2931
787	10845	2917
788	10859	2904
789	10870	2889
790	10883	2875
791	10895	2861
792	10905	2846
793	10919	2833
794	10931	2818
795	10944	2804
796	10957	2790
797	10966	2776
798	10980	2762
799	10994	2748
800	11009	2735
801	11022	2721
802	11033	2706
803	11044	2692
804	11056	2678
805	11069	2664
806	11081	2650
807	11093	2636
808	11106	2622
809	11119	2608
810	11130	2593
811	11142	2579
812	11156	2566
813	11168	2551
814	11178	2537
815	11190	2523
816	11203	2509
817	11214	2495
818	11227	2481
819	11238	2467
820	11250	2453
821	11261	2438
822	11273	2424
823	11285	2410
824	11298	2396
825	11310	2382
826	11323	2368
827	11335	2354
828	11346	2340
829	11361	2327
830	11374	2313
831	11388	2299
832	11402	2285
833	11414	2271
834	11426	2257
835	11441	2244
836	11452	2230
837	11465	2216
838	11483	2203
839	11496	2189
840	11507	2175
841	11520	2161
842	11533	2147
843	11545	2134
844	11559	2120
845	11578	2107
846	11595	2094
847	11609	2080
848	11621	2066
849	11633	2052
850	11644	2038
851	11661	2025
852	11672	2011
853	11684	1997
854	11695	1983
855	11707	1969
856	11722	1955
857	11733	1941
858	11743	1927
859	11755	1913
860	11767	1899
861	11778	1885
862	11790	1871
863	11802	1857
864	11816	1844
865	11828	1830
866	11839	1816
867	11851	1802
868	11865	1788
869	11877	1774
870	11891	1761
871	11908	1748
872	11919	1734
873	11932	1720
874	11945	1706
875	11958	1692
876	11971	1679
877	11983	1665
878	11994	1651
879	12006	1637
880	12018	1623
881	12031	1609
882	12043	1595
883	12056	1582
884	12066	1567
885	12075	1553
886	12086	1539
887	12099	1526
888	12111	1512
889	12123	1498
890	12135	1484
891	12148	1470
892	12171	1458
893	12183	1444
894	12192	1430
895	12202	1416
896	12219	1403
897	12231	1389
898	12245	1375
899	12257	1361
900	12269	1348
901	12280	1334
902	12292	1320
903	12305	1306
904	12317	1293
905	12329	1279
906	12341	1265
907	12352	1251
908	12363	1237
909	12375	1223
910	12388	1210
911	12400	1196
912	12411	1182
913	12420	1168
914	12432	1154
915	12443	1141
916	12453	1127
917	12467	1113
918	12477	1099
919	12490	1086
920	12501	1072
921	12517	1058
922	12528	1045
923	12541	1031
924	12553	1017
925	12565	1004
926	12582	990
927	12594	977
928	12606	963
929	12617	949
930	12630	936
931	12640	922
932	12653	908
933	12667	895
934	12680	881
935	12692	867
936	12704	854
937	12713	840
938	12726	826
939	12738	813
940	12753	799
941	12767	786
942	12779	772
943	12791	758
944	12804	745
945	12817	731
946	12830	718
947	12841	704
948	12856	690
949	12871	677
950	12883	663
951	12896	650
952	12908	636
953	12920	623
954	12932	609
955	12945	595
956	12958	582
957	12970	568
958	12982	555
959	12994	541
960	13006	527
961	13019	514
962	13030	500
963	13043	487
964	13056	473
965	13067	459
966	13079	446
967	13090	432
968	13104	419
969	13117	405
970	13129	392
971	13142	378
972	13153	365
973	13165	351
974	13176	337
975	13188	324
976	13200	310
977	13213	297
978	13226	283
979	13238	270
980	13252	256
981	13265	243
982	13279	229
983	13291	216
984	13304	202
985	13315	189
986	13327	175
987	13340	162
988	13350	148
989	13363	134
990	13376	121
991	13388	107
992	13403	94
993	13416	80
994	13429	67
995	13441	53
996	13454	40
997	13467	26
998	13477	13
999	13491	0
