iter	Logloss
0	0.5183565812
1	0.4382928862
2	0.3905812137
3	0.3636951263
4	0.3474481988
5	0.3385154924
6	0.3319858246
7	0.3269250738
8	0.3220958819
9	0.319260792
10	0.3165503311
11	0.3143288222
12	0.3121323095
13	0.3095031209
14	0.3072136929
15	0.3057595926
16	0.3045482643
17	0.3039023877
18	0.3033148165
19	0.302451252
20	0.3016665994
21	0.3011089494
22	0.2985253158
23	0.298155323
24	0.2974617473
25	0.2968073495
26	0.2960467716
27	0.2954696138
28	0.29539195
29	0.2946587087
30	0.2938088791
31	0.2930391076
32	0.2926661256
33	0.2923034376
34	0.2909038448
35	0.2904095679
36	0.2900119641
37	0.2898837961
38	0.289508888
39	0.2895068613
40	0.287998559
41	0.2874133381
42	0.2870244481
43	0.2865689065
44	0.2860926882
45	0.2858709983
46	0.2851810124
47	0.285180315
48	0.2837036903
49	0.2837017942
50	0.2833593613
51	0.2831152753
52	0.2817022842
53	0.2814568326
54	0.2807251372
55	0.2803583989
56	0.2802180693
57	0.2798791351
58	0.2793867641
59	0.2787072869
60	0.2780085048
61	0.2779698699
62	0.2777053594
63	0.2776038696
64	0.2773312683
65	0.2767608121
66	0.2766706386
67	0.2765528735
68	0.2761537546
69	0.2757862284
70	0.2753021364
71	0.2748494031
72	0.2744475961
73	0.2743981053
74	0.2735278247
75	0.2734056021
76	0.2730161061
77	0.2729535409
78	0.2727999786
79	0.2727835462
80	0.2724307527
81	0.272008377
82	0.2717005078
83	0.2714783812
84	0.2710958608
85	0.2709381478
86	0.2709342244
87	0.2706759835
88	0.2706082205
89	0.2704264553
90	0.2698268852
91	0.2697701928
92	0.2694993471
93	0.2689457158
94	0.2688032817
95	0.2687849825
96	0.2685154623
97	0.2679929039
98	0.2678620439
99	0.2677119659
100	0.2674772341
101	0.2672275025
102	0.2669098131
103	0.266765585
104	0.2665248358
105	0.2663676473
106	0.2663533373
107	0.2659640271
108	0.2649227265
109	0.2647829607
110	0.2645485972
111	0.2638620401
112	0.2635660993
113	0.2635148484
114	0.2634623157
115	0.2630669682
116	0.2628798559
117	0.2626502952
118	0.2625616332
119	0.2622849215
120	0.2621781987
121	0.2616873514
122	0.2616746971
123	0.261465967
124	0.2610550819
125	0.2608309985
126	0.2608194571
127	0.2607818146
128	0.2606136071
129	0.2604716089
130	0.2603593664
131	0.2599717615
132	0.2597714031
133	0.2591772102
134	0.2590702726
135	0.2588165314
136	0.2587855813
137	0.2585628402
138	0.2584706059
139	0.2581419337
140	0.2580325132
141	0.2579976038
142	0.257826623
143	0.2577223298
144	0.2572946611
145	0.2572430519
146	0.2571010511
147	0.2568075518
148	0.2565599499
149	0.2565403818
150	0.2563014059
151	0.2561618344
152	0.2558198947
153	0.2554642693
154	0.2554410976
155	0.2551798144
156	0.2550040584
157	0.2545960246
158	0.254403664
159	0.2541052455
160	0.2539067122
161	0.2536793266
162	0.2536627596
163	0.2531599916
164	0.2529058323
165	0.2527959908
166	0.2525857068
167	0.2520439715
168	0.2519389619
169	0.251803606
170	0.2517301177
171	0.251609079
172	0.2514537348
173	0.2514289705
174	0.2511977248
175	0.250796132
176	0.2506637792
177	0.2505404625
178	0.2505260426
179	0.2505232678
180	0.2503266083
